"marital = married","marital = single","marital = divorced","default = no","default = yes","housing = no","housing = yes","loan = no","loan = yes","poutcome = unknown","poutcome = failure","poutcome = other","poutcome = success","age","balance","campaign","pdays","previous","id","y","confidence(no)","confidence(yes)","prediction(y)"
0,1,0,1,0,1,0,1,0,0,0,0,1,69,2144,1,184,4,"4094","yes",0.45838173327883824,0.5416182667211619,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,58,462,1,93,1,"3499","yes",0.4583828870541901,0.5416171129458099,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,58,2223,2,114,1,"3645","no",0.4586398083653434,0.5413601916346567,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,44,14,1,92,1,"2540","yes",0.45865273494478187,0.541347265055218,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,46,624,2,183,2,"856","yes",0.45865947005418467,0.5413405299458154,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,38,70,3,148,1,"4010","yes",0.4588455011205206,0.5411544988794793,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,36,2843,1,182,1,"99","no",0.4588698006247402,0.5411301993752597,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,47,3696,2,181,4,"541","yes",0.45889382300364717,0.541106176996353,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,38,0,3,95,3,"3386","yes",0.45904445690542545,0.5409555430945745,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,31,64,1,105,2,"3371","no",0.45912128022003046,0.5408787197799695,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,30,305,1,85,2,"3685","yes",0.4591470870363077,0.5408529129636922,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,31,2544,1,184,3,"3089","yes",0.4591698241349378,0.5408301758650622,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,437,1,92,1,"2676","yes",0.4591708040820754,0.5408291959179247,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,572,1,195,1,"4459","yes",0.4591734421443009,0.540826557855699,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,19,2,64,2,"3836","yes",0.45919847037441475,0.5408015296255853,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,113,2,183,4,"1486","yes",0.4592003055436184,0.5407996944563815,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,32,5514,1,182,1,"1167","yes",0.45920738590025467,0.5407926140997453,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,27,390,1,82,1,"3244","no",0.45921225744844635,0.5407877425515536,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,1445,2,143,2,"1755","yes",0.45922637628168766,0.5407736237183124,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,26,255,1,80,1,"881","yes",0.4592308482258818,0.5407691517741182,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,26,294,1,91,2,"3875","yes",0.4592316110339955,0.5407683889660045,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,37,6101,5,87,1,"398","no",0.4592569297930513,0.5407430702069487,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,28,168,3,140,2,"685","yes",0.4592584557254483,0.5407415442745517,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,28,4745,1,181,5,"3177","yes",0.45927683243695533,0.5407231675630446,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,15459,3,97,7,"1217","no",0.4595442118696092,0.5404557881303907,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,21,2488,6,169,3,"111","yes",0.4595619503815506,0.5404380496184494,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,77,0,1,60,1,"1438","yes",0.4635728722429864,0.5364271277570136,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,75,3771,1,181,2,"200","yes",0.4637019830799447,0.5362980169200553,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,77,7802,1,92,2,"478","yes",0.4637483303737648,0.5362516696262353,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,71,383,2,183,3,"1187","no",0.4637555052256862,0.5362444947743139,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,79,8556,2,272,2,"3203","yes",0.4637601301441884,0.5362398698558117,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,69,426,1,90,1,"4225","yes",0.4637620803961108,0.5362379196038892,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,73,1388,3,190,3,"1443","no",0.4637724296953293,0.5362275703046707,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,66,1948,1,91,4,"3979","yes",0.46386413261209525,0.5361358673879049,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,64,43,1,91,1,"658","no",0.46386684362373426,0.5361331563762657,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,63,1084,1,183,1,"339","no",0.46391294353256224,0.5360870564674377,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,64,768,2,182,1,"1084","no",0.4639227530149601,0.5360772469850399,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,59,259,1,89,1,"1470","yes",0.4639857791237804,0.5360142208762195,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,63,3904,2,187,2,"1057","yes",0.4640162896413896,0.5359837103586104,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,60,3735,1,188,9,"3006","yes",0.46404131042738395,0.5359586895726162,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,57,1044,1,192,2,"4161","yes",0.4640492988582425,0.5359507011417576,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,59,4198,1,91,10,"2050","yes",0.46407474583501696,0.535925254164983,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,56,2038,1,305,1,"1981","no",0.4640947212686972,0.5359052787313028,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,55,0,2,238,3,"2267","no",0.4641116506172565,0.5358883493827437,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,53,94,1,181,14,"4160","yes",0.4641200020229397,0.5358799979770602,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,54,0,2,106,6,"3520","no",0.46413470609612106,0.5358652939038789,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,59,2013,4,94,2,"985","yes",0.4641447711882794,0.5358552288117207,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,53,1796,1,91,2,"493","yes",0.46415841418250375,0.5358415858174963,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,55,602,3,90,2,"157","yes",0.4641651111882428,0.5358348888117571,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,55,2587,2,94,2,"348","yes",0.46417007367591845,0.5358299263240817,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,54,876,3,541,3,"3251","yes",0.46419438094735466,0.5358056190526453,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,53,306,3,181,1,"1654","yes",0.4642046336186687,0.5357953663813313,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,52,0,3,94,4,"4187","no",0.46422087519130034,0.5357791248086997,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,48,817,1,282,4,"2123","yes",0.46425212340125394,0.5357478765987461,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,47,57,1,342,1,"659","no",0.4642582017334985,0.5357417982665014,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,48,1147,1,64,2,"1061","yes",0.46425959143449047,0.5357404085655095,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,47,677,1,99,4,"2712","no",0.4642722137530827,0.5357277862469174,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,47,2408,1,104,1,"2970","no",0.4643114739850102,0.5356885260149897,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,53,459,6,192,1,"4217","no",0.4643281563808261,0.535671843619174,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,47,3676,1,95,3,"3932","yes",0.46434036355276886,0.5356596364472311,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,43,132,1,84,3,"1696","yes",0.4643532025062022,0.5356467974937977,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,52,2557,5,204,2,"2584","yes",0.4643588604501663,0.5356411395498337,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,45,706,2,176,1,"1375","no",0.4643595724255221,0.5356404275744779,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,43,2160,1,98,1,"3587","yes",0.4643992395191046,0.5356007604808953,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,42,1519,1,92,1,"1304","yes",0.46440807789060795,0.5355919221093921,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,40,0,1,96,8,"3028","yes",0.4644205141562779,0.5355794858437222,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,39,116,2,94,2,"3752","no",0.46448686258232574,0.5355131374176741,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,38,1199,1,1,1,"324","yes",0.4644947772450758,0.5355052227549241,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,37,189,1,107,2,"1125","yes",0.4644953790361284,0.5355046209638716,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,37,238,1,92,1,"2252","yes",0.4644964917086465,0.5355035082913535,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,37,0,2,182,3,"71","yes",0.46453135645092214,0.5354686435490779,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,37,1978,1,182,1,"4216","yes",0.4645361096496993,0.5354638903503006,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,36,1177,1,311,4,"3897","yes",0.46454144610324194,0.535458553896758,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,35,262,2,109,4,"3271","no",0.4645845625816253,0.5354154374183748,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,34,1076,1,182,6,"1182","yes",0.46458643503512737,0.5354135649648727,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,38,3576,2,183,1,"3590","yes",0.4645893753116387,0.5354106246883612,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,36,495,3,97,2,"1426","yes",0.4646065539651745,0.5353934460348255,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,36,495,3,182,6,"3257","yes",0.4646065539651745,0.5353934460348255,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,36,925,3,189,4,"2450","yes",0.4646163501719789,0.5353836498280212,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,38,6728,1,96,4,"2848","yes",0.46462168477013194,0.535378315229868,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,34,1337,2,127,3,"1049","yes",0.4646327430158122,0.5353672569841877,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,35,978,3,209,3,"329","yes",0.46464123208665187,0.535358767913348,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,31,1331,1,86,3,"3696","yes",0.46466342553817597,0.535336574461824,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,35,7050,3,182,4,"620","yes",0.4647810109366794,0.5352189890633207,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,32,14533,3,198,2,"1604","no",0.4650284380401293,0.5349715619598707,"yes"
0,0,1,1,0,1,0,1,0,0,0,1,0,56,694,1,102,1,"2916","yes",0.46652141037869044,0.5334785896213096,"yes"
0,0,1,1,0,1,0,1,0,0,0,1,0,55,976,1,94,3,"850","yes",0.46655256799034167,0.5334474320096583,"yes"
0,0,1,1,0,1,0,1,0,0,0,1,0,51,1679,1,365,9,"3931","yes",0.46666738324216583,0.5333326167578342,"yes"
0,0,1,1,0,1,0,1,0,0,0,1,0,50,356,2,358,5,"3613","no",0.46670174411911275,0.5332982558808873,"yes"
0,1,0,1,0,1,0,1,0,0,0,1,0,43,146,1,113,5,"1109","no",0.46708180840782393,0.5329181915921761,"yes"
0,1,0,1,0,1,0,1,0,0,0,1,0,47,4402,1,190,1,"3890","yes",0.4670837253469298,0.5329162746530702,"yes"
0,0,1,1,0,1,0,1,0,0,0,1,0,31,360,1,297,2,"4054","no",0.46713241096884117,0.5328675890311587,"yes"
0,1,0,1,0,1,0,1,0,0,0,1,0,41,1448,1,184,7,"1356","no",0.467164133573927,0.5328358664260731,"yes"
0,1,0,1,0,1,0,1,0,0,0,1,0,35,44,2,96,2,"1763","no",0.4673256681881372,0.5326743318118629,"yes"
0,0,1,1,0,1,0,1,0,0,0,1,0,41,5037,9,185,5,"1277","yes",0.46733224275809626,0.5326677572419037,"yes"
0,1,0,1,0,1,0,1,0,0,0,1,0,38,623,4,144,4,"4466","yes",0.46734770077166865,0.5326522992283313,"yes"
0,1,0,1,0,1,0,1,0,0,0,1,0,31,315,1,2,1,"4489","no",0.4673925528598031,0.5326074471401969,"yes"
0,1,0,1,0,1,0,1,0,0,0,1,0,41,748,7,130,3,"2813","no",0.4674013222171936,0.5325986777828063,"yes"
0,1,0,1,0,1,0,1,0,0,0,1,0,29,1026,1,92,1,"1916","yes",0.4674613941173743,0.5325386058826258,"yes"
0,1,0,1,0,1,0,1,0,0,0,1,0,31,2590,2,484,2,"2861","no",0.46749051248217044,0.5325094875178297,"yes"
